Name,Lat,Lon,country,state,Population
Spittal an der Drau,46.8,13.5,AT,2,16363
Schwechat,48.13333,16.46667,AT,3,15711
Sankt Poelten,48.2,15.63333,AT,3,49001
Salzburg,47.79941,13.04399,AT,5,150269
Saalfelden am Steinernen Meer,47.42681,12.848,AT,5,16119
Modling,48.08605,16.28921,AT,3,20710
Lustenau,47.42642,9.65851,AT,8,20218
Linz,48.30639,14.28611,AT,4,181162
Leonding,48.27965,14.2533,AT,4,22736
Leoben,47.3765,15.09144,AT,6,24809
Kufstein,47.58333,12.16667,AT,7,16115
Krems an der Donau,48.40921,15.61415,AT,3,23932
Klosterneuburg,48.30521,16.32522,AT,3,24843
Klagenfurt am Woerthersee,46.62472,14.30528,AT,2,90610
Kapfenberg,47.44458,15.29331,AT,6,21819
Innsbruck,47.26266,11.39454,AT,7,112467
Hallein,47.68333,13.1,AT,5,18980
Graz,47.06667,15.45,AT,6,222326
Feldkirch,47.23306,9.6,AT,8,31082
Dornbirn,47.41427,9.74195,AT,8,43013
Bregenz,47.50311,9.7471,AT,8,27611
Braunau am Inn,48.25628,13.04343,AT,4,16403
Baden,48.00543,16.23264,AT,3,24893
Amstetten,48.1229,14.87206,AT,3,22832
Ansfelden,47.965,13.04944,AT,5,15673
Whyalla,-33.03268,137.56483,AU,5,19645
Rockingham,-32.27682,115.72978,AU,8,108022
Prospect,-34.88241,138.5933,AU,5,20217
Port Hedland,-20.31215,118.61059,AU,8,15044
Perth,-31.95224,115.8614,AU,8,1896548
Murray Bridge,-35.11986,139.27345,AU,5,19577
Mount Isa,-20.72523,139.49727,AU,4,22785
Morphett Vale,-35.13333,138.51667,AU,5,22602
Mandurah,-32.5269,115.7217,AU,8,83294
Kwinana,-32.23013,115.78128,AU,8,30433
Kalgoorlie,-30.74614,121.4742,AU,8,31107
Gosnells,-32.081,116.0054,AU,8,17277
Geraldton,-28.77897,114.61459,AU,8,26872
Gawler,-34.60251,138.74902,AU,5,20006
Fremantle,-32.05,115.76667,AU,8,24835
Darwin,-12.46113,130.84185,AU,3,129062
Busselton,-33.65249,115.3455,AU,8,21898
Bunbury,-33.32711,115.64137,AU,8,68248
Armadale,-32.14607,116.0093,AU,8,62296
Alice Springs,-23.69748,133.88362,AU,3,25186
Albany,-35.0031,117.86595,AU,8,33650
Adelaide,-34.92866,138.59863,AU,5,1225235
Woodridge,-27.63333,153.1,AU,4,20650
Wodonga,-36.12179,146.88809,AU,7,31605
Werribee,-37.9,144.66667,AU,7,37737
Warrnambool,-38.38176,142.48799,AU,7,33982
Wantirna South,-37.88333,145.21667,AU,7,17477
Wangaratta,-36.35846,146.32056,AU,7,16845
Wagga Wagga,-35.12577,147.35375,AU,2,46913
Traralgon,-38.19528,146.5415,AU,7,21960
Townsville,-19.26639,146.80569,AU,4,196219
Toowoomba,-27.56056,151.95386,AU,4,131258
Thornbury,-37.75,145,AU,7,17434
Thomastown,-37.68333,145.01667,AU,7,20331
Tarneit,-37.86667,144.66667,AU,7,21690
Taree,-31.91099,152.45387,AU,2,16621
Tamworth,-31.09048,150.92905,AU,2,47597
Sydney,-33.86785,151.20732,AU,2,4627345
Surfers Paradise,-28.00274,153.42999,AU,4,18501
Sunnybank,-27.58333,153.05,AU,4,16442
Sunbury,-37.57742,144.72607,AU,7,29925
Port Stephens,-32.71314,152.06623,AU,2,27531
Springvale,-37.94853,145.15274,AU,7,19771
